class,BL,BH,ML,BCL,CCB1,CC,CCB2,b
Q200,0.760666667,0.914333333,0.1715,0.819833333,0.0595,0.312666667,0.036666667,HH
Q201,0.770166667,0.865666667,0.170833333,0.85,0.053666667,0.307333333,0.037333333,HH
Q202,0.692166667,0.865333333,0.1975,0.7935,0.0505,0.264166667,0.032166667,HH
Q203,0.850333333,0.860333333,0.1825,0.872,0.059666667,0.267,0.030833333,HH
Q204,0.911166667,0.9405,0.1775,0.997833333,0.064333333,0.309,0.037333333,HH
Q205,0.8055,0.912833333,0.191,0.858333333,0.058166667,0.2825,0.037,HH
Q206,0.699833333,0.822333333,0.1805,0.760666667,0.058666667,0.253166667,0.039333333,HH
Q207,0.792666667,0.9485,0.188833333,0.903166667,0.067666667,0.267333333,0.037666667,HH
Q208,0.789833333,0.883833333,0.160833333,0.830333333,0.053333333,0.268666667,0.034833333,HH
Q209,0.648166667,0.763166667,0.144666667,0.709,0.052166667,0.2575,0.034666667,HH
Q210,0.644666667,0.777333333,0.131,0.711166667,0.055,0.252333333,0.0365,HH
Q211,0.802833333,0.9155,0.206833333,0.836166667,0.056833333,0.316,NaN,HH
